Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,poblacio_total,edat_mitjana,pct_menors,pct_joves_adults,pct_adults,pct_jubilats
2015,1,Ciutat Vella,1,el Raval,46843,38.55914437589394,0.14796234229233823,0.3314689494695045,0.3188736844352411,0.12018871549644557
2015,1,Ciutat Vella,2,el Barri Gòtic,15333,40.802126133176806,0.0975021196112959,0.3701167416682971,0.3212026348398878,0.13806821887432336
2015,1,Ciutat Vella,3,la Barceloneta,14944,43.27014186295503,0.10452355460385439,0.3205968950749465,0.31377141327623126,0.19305406852248394
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22324,40.64074538613152,0.11754165920086006,0.35576061637699335,0.3158932091023114,0.14562802365167532
2015,2,Eixample,5,el Fort Pienc,31473,44.09055380802593,0.13916690496616146,0.2503097893432466,0.33603406094112415,0.21294442855781145
2015,2,Eixample,6,la Sagrada Família,51013,45.20226216846686,0.12518377668437458,0.24476113931742888,0.3447552584635289,0.22349205104581185
2015,2,Eixample,7,la Dreta de l'Eixample,43156,43.948720919455,0.14375753081842618,0.2435814255259987,0.34027713411808325,0.20975067198072112
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41483,44.49514258853024,0.12973989345032905,0.2567798857363257,0.3328833498059446,0.21811344406142275
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,57523,45.00782295777341,0.12713175599325488,0.2449802687620604,0.3380039288632373,0.22594440484675696
2015,2,Eixample,10,Sant Antoni,37921,45.12006539911922,0.1241001028453891,0.2539489992352522,0.3366208697028032,0.22662904459270589
2015,3,Sants-Montjuïc,11,el Poble-sec,40119,42.13066128268402,0.1390862184999626,0.28776888755951047,0.3365238415713253,0.17545302724394926
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,946,42.47568710359408,0.11627906976744186,0.2653276955602537,0.3879492600422833,0.14799154334038056
2015,3,Sants-Montjuïc,13,la Marina de Port,30160,42.72327586206897,0.1696949602122016,0.20009946949602123,0.36114058355437667,0.19575596816976126
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,10356,44.50502124372345,0.13113171108536115,0.24613750482811897,0.3444380069524913,0.2152375434530707
2015,3,Sants-Montjuïc,15,Hostafrancs,15723,43.31425300515169,0.1280290020988361,0.2779367805126248,0.3456083444635248,0.1886408446225275
2015,3,Sants-Montjuïc,16,la Bordeta,18353,44.864490818939686,0.1372527652154961,0.2205633956301422,0.359668719010516,0.21947365553315534
2015,3,Sants-Montjuïc,17,Sants - Badal,23978,44.728459421136044,0.13011927600300274,0.23763449829009925,0.35365751939277673,0.21511385436650263
2015,3,Sants-Montjuïc,18,Sants,40560,44.292381656804736,0.1334319526627219,0.24960552268244576,0.3428007889546351,0.21316568047337278
2015,4,Les Corts,19,les Corts,45659,45.52655555312206,0.1396000788453536,0.2091592019098097,0.3422764405703147,0.24512144374603034
2015,4,Les Corts,20,la Maternitat i Sant Ramon,23731,45.4525725843833,0.14183978761956934,0.21233829168598037,0.3341620664953015,0.24824069782141503
2015,4,Les Corts,21,Pedralbes,11620,43.767469879518075,0.18803786574870912,0.17323580034423408,0.32865748709122206,0.2385542168674699
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4445,38.88773903262092,0.23577052868391452,0.17547806524184478,0.3901012373453318,0.1331833520809899
2015,5,Sarrià-Sant Gervasi,23,Sarrià,24470,41.778790355537396,0.21418062934205148,0.1786677564364528,0.33044544340008175,0.2061708214139763
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,16407,41.26537453525934,0.2106417992320351,0.1638325105138051,0.3285183153532029,0.20198695678673736
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25260,42.92961203483769,0.19014251781472685,0.17569279493269993,0.33539192399049883,0.2191607284243864
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46557,43.67061881134953,0.18016624782524648,0.1835599372811822,0.3349013037781644,0.22692613355671543
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28968,43.03793841480254,0.17008423087544877,0.215962441314554,0.33640568903617785,0.2088511460922397
2015,6,Gràcia,28,Vallcarca i els Penitents,15379,44.03810390792639,0.16067364588074648,0.21360296508225501,0.3440405748098056,0.22426685740295207
2015,6,Gràcia,29,el Coll,7332,42.94012547735952,0.1588925259138025,0.2289961811238407,0.34888161483906166,0.1988543371522095
2015,6,Gràcia,30,la Salut,13184,44.86589805825243,0.14661711165048544,0.22519720873786409,0.3258495145631068,0.24021541262135923
2015,6,Gràcia,31,la Vila de Gràcia,50172,43.1185920433708,0.1316272024236626,0.29773578888623137,0.32235111217412105,0.1934943793350873
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,33842,45.291944920512975,0.13474380946752557,0.23133975533360912,0.3384551740440872,0.23556527391998108
2015,7,Horta-Guinardó,33,el Baix Guinardó,25423,45.93785155174449,0.13255713330448807,0.22369507925893875,0.3378830193132203,0.24501435707823624
2015,7,Horta-Guinardó,34,Can Baró,8793,44.84533151370408,0.14375071079267598,0.21448879790742637,0.34845900147844877,0.23211645627203456
2015,7,Horta-Guinardó,35,el Guinardó,35659,44.601951821419554,0.14725595221402732,0.22277685857707732,0.3436159174401974,0.2277124989483721
2015,7,Horta-Guinardó,36,la Font d'en Fargues,9336,44.35507712082262,0.17170094258783206,0.174057412167952,0.3648243359040274,0.22847043701799485
2015,7,Horta-Guinardó,37,el Carmel,31362,43.74625342771507,0.15639946431987756,0.21975639308717557,0.3355653338435049,0.22546393724889993
2015,7,Horta-Guinardó,38,la Teixonera,11340,44.0379188712522,0.14973544973544972,0.21904761904761905,0.3529982363315697,0.21772486772486774
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,6699,46.90685176892073,0.14166293476638303,0.18360949395432155,0.3340797133900582,0.2804896253172115
2015,7,Horta-Guinardó,40,Montbau,5012,49.140263367917,0.1402633679169992,0.1727853152434158,0.31963288108539506,0.3182362330407023
2015,7,Horta-Guinardó,41,la Vall d'Hebron,5443,46.32426970420724,0.15157082491273194,0.16130810214954988,0.3615653132463715,0.2643762630902076
2015,7,Horta-Guinardó,42,la Clota,246,36.71544715447155,0.11382113821138211,0.4959349593495935,0.34959349593495936,0.04065040650406504
2015,7,Horta-Guinardó,43,Horta,26417,45.79842525646364,0.14608017564447137,0.19188401408184125,0.3459514706439035,0.25377597759018816
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25256,45.609914475768136,0.14257998099461514,0.20141748495407033,0.3505701615457713,0.24303135888501742
2015,8,Nou Barris,45,Porta,24229,45.8696190515498,0.14206116637087787,0.20859300837838954,0.333071938585992,0.2603491683519749
2015,8,Nou Barris,46,el Turó de la Peira,15286,45.069671594923456,0.1575951851367264,0.20665968860395134,0.3230406908282088,0.24414496925291115
2015,8,Nou Barris,47,Can Peguera,2239,44.0830728003573,0.16167932112550246,0.19071013845466725,0.34613666815542654,0.22286735149620365
2015,8,Nou Barris,48,la Guineueta,15069,46.973389076912866,0.14858318402017387,0.17293781936425776,0.33339969473754066,0.28840666268498244
2015,8,Nou Barris,49,Canyelles,6938,46.32905736523494,0.1405304122225425,0.17699625252234072,0.3750360334390314,0.24632458921879505
2015,8,Nou Barris,50,les Roquetes,15342,41.05820623126059,0.17611784643462391,0.23458479989571113,0.33092165297875115,0.18335288749837048
2015,8,Nou Barris,51,Verdun,12171,43.87856379919481,0.15734122093500943,0.21847013392490347,0.3295538575301947,0.2301372114041574
2015,8,Nou Barris,52,la Prosperitat,25897,45.136502297563425,0.15160057149476774,0.20801637255280533,0.3237054485075491,0.25528053442483684
2015,8,Nou Barris,53,la Trinitat Nova,7314,42.827590921520375,0.1733661471151217,0.21055509980858628,0.3475526387749521,0.19783975936560022
2015,8,Nou Barris,54,Torre Baró,2695,37.250463821892396,0.22782931354359925,0.22634508348794063,0.34545454545454546,0.11799628942486086
2015,8,Nou Barris,55,Ciutat Meridiana,10218,39.93981209630065,0.19201409277745154,0.23311802701115678,0.31248776668623995,0.18095517713838324
2015,8,Nou Barris,56,Vallbona,1202,37.71547420965058,0.23044925124792012,0.24958402662229617,0.3319467554076539,0.12562396006655574
2015,9,Sant Andreu,57,la Trinitat Vella,10039,38.85914931766112,0.19693196533519275,0.24643888833549157,0.3243350931367666,0.15011455324235481
2015,9,Sant Andreu,58,Baró de Viver,2448,39.95669934640523,0.20669934640522875,0.21691176470588236,0.3464052287581699,0.1556372549019608
2015,9,Sant Andreu,59,el Bon Pastor,12486,40.36368732980939,0.20623097869613968,0.2182444337658177,0.3382988947621336,0.1782796732340221
2015,9,Sant Andreu,60,Sant Andreu,56321,43.950764368530386,0.15816480531240568,0.21096926546048544,0.36297295857672984,0.21096926546048544
2015,9,Sant Andreu,61,la Sagrera,28796,44.78024725656341,0.1421030698708154,0.21860675093763024,0.3548756771773858,0.22253090707042644
2015,9,Sant Andreu,62,el Congrés i els Indians,13995,45.24994640943194,0.15226866738120756,0.20364415862808147,0.34169346195069666,0.23922829581993568
2015,9,Sant Andreu,63,Navas,21922,45.40571115774108,0.14068059483623757,0.21010856673661163,0.34672931301888515,0.24016969254630052
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,38102,45.01753188808986,0.13230276625898904,0.23896383391947928,0.34326282084929927,0.22825573460710724
2015,10,Sant Martí,65,el Clot,26870,43.20971343505769,0.15519166356531447,0.2200223297357648,0.372646073688128,0.18779307778191293
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14646,42.59647685374846,0.14195002048340843,0.2696299330875324,0.340024580090127,0.18318994947425918
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,9231,38.71010724731882,0.21449463763405915,0.18329541761455964,0.4143646408839779,0.10800563319250352
2015,10,Sant Martí,68,el Poblenou,33358,41.05180166676659,0.18334432519935248,0.2417411115774327,0.35910426284549435,0.16559745788116795
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13230,38.465003779289496,0.22131519274376418,0.24482237339380197,0.3573696145124717,0.13854875283446713
2015,10,Sant Martí,70,el Besòs i el Maresme,22698,41.80324257643845,0.17076394395982025,0.2331482950039651,0.3405586395277117,0.1805885981143713
2015,10,Sant Martí,71,Provençals del Poblenou,20074,42.00916608548371,0.16254857028992728,0.23214107801135797,0.3622596393344625,0.1751021221480522
2015,10,Sant Martí,72,Sant Martí de Provençals,25881,46.03944978942081,0.1452416830879796,0.19435106835130017,0.34422935744368455,0.2589544453460067
2015,10,Sant Martí,73,la Verneda i la Pau,28619,46.003144763967995,0.14567245536182258,0.19249449666305601,0.3387609629966106,0.2615744784933086
2016,1,Ciutat Vella,1,el Raval,46871,38.523479336903414,0.148023297988095,0.3289027330332188,0.3247423780162574,0.11738601694011222
2016,1,Ciutat Vella,2,el Barri Gòtic,15560,40.51947300771208,0.09710796915167096,0.36696658097686374,0.3212082262210797,0.13431876606683804
2016,1,Ciutat Vella,3,la Barceloneta,14954,43.08104854888324,0.10177878828407115,0.3213855824528554,0.3199144041727966,0.18670589808746824
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22269,40.58884548026404,0.11540706812160402,0.3514751448201536,0.3182899995509453,0.1444160043109255
2016,2,Eixample,5,el Fort Pienc,31637,44.14969813825584,0.1383190568005816,0.2482852356418118,0.33682081107563927,0.21421120839523342
2016,2,Eixample,6,la Sagrada Família,51260,45.171186110027314,0.1258876316816231,0.2446547015216543,0.344206008583691,0.22362465860319938
2016,2,Eixample,7,la Dreta de l'Eixample,43282,43.865394390277714,0.14361628390554965,0.24083914791368236,0.34166628159512036,0.20840072085393466
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41718,44.381921472745574,0.1315019895488758,0.2516659475526152,0.33604199626060693,0.21578215638333573
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,57559,45.07062318664327,0.12687850727080038,0.24169982105318022,0.33975572890425476,0.22766205111277124
2016,2,Eixample,10,Sant Antoni,38129,45.070418841301894,0.12520653570772902,0.25219649085997536,0.3377219439271945,0.2254714259487529
2016,3,Sants-Montjuïc,11,el Poble-sec,40023,42.150313569697424,0.13827049446568224,0.2837118656772356,0.3443270119681183,0.17182619993503737
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,966,42.12939958592133,0.12629399585921325,0.26811594202898553,0.39544513457556935,0.13768115942028986
2016,3,Sants-Montjuïc,13,la Marina de Port,30302,42.881558973005085,0.16853673024882845,0.19632367500495015,0.3670384793082965,0.1948716256352716
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,10305,44.85967976710335,0.12896652110625909,0.24172731683648715,0.3470160116448326,0.2205725376031053
2016,3,Sants-Montjuïc,15,Hostafrancs,15886,43.314742540601785,0.12929623567921442,0.2723781946367871,0.34552436107264256,0.19092282512904443
2016,3,Sants-Montjuïc,16,la Bordeta,18470,44.94569572279372,0.13974011911207362,0.21580942068218734,0.36285868976719005,0.22051976177585272
2016,3,Sants-Montjuïc,17,Sants - Badal,23903,44.87696105091411,0.13002551980922897,0.23269045726477847,0.3529264109107643,0.21905200184077311
2016,3,Sants-Montjuïc,18,Sants,40699,44.33025381459004,0.13422934224428118,0.2464679721860488,0.3465195705054178,0.2123885107742205
2016,4,Les Corts,19,les Corts,45677,45.721019331392164,0.1412308163846137,0.2032313855988791,0.3424480591982836,0.25023534820588045
2016,4,Les Corts,20,la Maternitat i Sant Ramon,23792,45.628446536650976,0.14202252858103565,0.21065904505716207,0.3308675184936113,0.253866845998655
2016,4,Les Corts,21,Pedralbes,11779,43.762203922234484,0.19161219118770695,0.16223788097461583,0.3316070973766873,0.24017318957466677
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4486,38.70396790013375,0.23316986179224253,0.18279090503789566,0.3932233615693268,0.12617030762371823
2016,5,Sarrià-Sant Gervasi,23,Sarrià,24651,41.89980122510243,0.2141089610969129,0.17244736521844956,0.33438805727962356,0.20725325544602652
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,16388,41.57511593849158,0.21595069563094949,0.158164510617525,0.33402489626556015,0.20673663656333902
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25668,42.9327177808945,0.18973040361539661,0.17477014181081502,0.3345800218170485,0.21976780426990805
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,47014,43.593270089760495,0.18024418258391117,0.18037180414344664,0.33809078146934957,0.22399710724465052
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29261,43.014968729708485,0.1698848296367178,0.21226205529544445,0.33720652062472234,0.20949386555483407
2016,6,Gràcia,28,Vallcarca i els Penitents,15491,44.0804983538829,0.15970563553030792,0.20954102382028275,0.3444580724291524,0.22606674843457492
2016,6,Gràcia,29,el Coll,7361,43.16016845537291,0.15527781551419645,0.21994294253498167,0.35579404972150525,0.201874745279174
2016,6,Gràcia,30,la Salut,13075,45.085506692160614,0.14676864244741875,0.22049713193116635,0.32665391969407265,0.24489483747609941
2016,6,Gràcia,31,la Vila de Gràcia,50388,42.94889656267365,0.1355481463840597,0.29118043978725094,0.32741922680003177,0.19075970469159323
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34191,45.248398701412654,0.13497704074171565,0.23187388494048142,0.3379251849902021,0.23552981778830687
2016,7,Horta-Guinardó,33,el Baix Guinardó,25524,46.04685785926971,0.13152327221438645,0.21940134775113618,0.34540040745964584,0.2433396019432691
2016,7,Horta-Guinardó,34,Can Baró,8945,45.03286752375629,0.1426495248742314,0.21587479038569032,0.35114589155953047,0.2306316377864729
2016,7,Horta-Guinardó,35,el Guinardó,36047,44.5410436374733,0.14880572585790774,0.21838155741115767,0.348128831802924,0.22517823952062585
2016,7,Horta-Guinardó,36,la Font d'en Fargues,9348,44.44169875909285,0.17222935387248609,0.16827128797603766,0.363714163457424,0.23234916559691912
2016,7,Horta-Guinardó,37,el Carmel,31296,43.977249488752555,0.15455649284253578,0.2119120654396728,0.3425996932515337,0.22654652351738241
2016,7,Horta-Guinardó,38,la Teixonera,11267,44.28374900150883,0.14822046685009319,0.20830744652525074,0.356439158604775,0.22108813348717493
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,6673,46.88760677356511,0.14266446875468305,0.18597332534092612,0.3365802487636745,0.27543833358309605
2016,7,Horta-Guinardó,40,Montbau,5029,49.15032809703718,0.13521574865778485,0.16623583217339433,0.33187512427918076,0.30940544839928413
2016,7,Horta-Guinardó,41,la Vall d'Hebron,5661,45.948242360007065,0.15403638933050698,0.1674615792262851,0.3623034799505388,0.2566684331390214
2016,7,Horta-Guinardó,42,la Clota,310,34.42580645161291,0.12903225806451613,0.5096774193548387,0.34516129032258064,0.016129032258064516
2016,7,Horta-Guinardó,43,Horta,26544,45.93433544303797,0.1481314044605184,0.18557866184448463,0.3500602772754671,0.254746835443038
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25364,45.80886295536982,0.14256426431162278,0.19366030594543449,0.3553067339536351,0.24522945907585555
2016,8,Nou Barris,45,Porta,24505,45.792981024280756,0.1430728422770863,0.20420322383187103,0.33935931442562745,0.25558049377678027
2016,8,Nou Barris,46,el Turó de la Peira,15297,44.92848270902791,0.15774334836896123,0.2039615610904099,0.3326142380858992,0.2356671242727332
2016,8,Nou Barris,47,Can Peguera,2211,43.999547715965626,0.16417910447761194,0.18815015829941203,0.35549525101763907,0.21528720036182722
2016,8,Nou Barris,48,la Guineueta,15020,47.13535286284954,0.14886817576564582,0.16731025299600533,0.3384154460719041,0.2884820239680426
2016,8,Nou Barris,49,Canyelles,6919,46.91458303223009,0.1375921375921376,0.16982222864575805,0.37606590547767016,0.2571180806474924
2016,8,Nou Barris,50,les Roquetes,15350,41.18032573289902,0.17641693811074918,0.22899022801302932,0.3362214983713355,0.18188925081433224
