Nom_Barri,Any,preu_m2
Can Baró,2025,16.03
el Guinardó,2025,15.44
la Font d'en Fargues,2025,14.6
el Carmel,2025,13.97
la Teixonera,2025,14.96
Sant Genís dels Agudells,2025,12.25
Montbau,2025,15.47
la Vall d'Hebron,2025,15.34
la Clota,2025,20.15
Horta,2025,14.31
Vilapicina i la Torre Llobeta,2025,14.59
Porta,2025,13.32
el Turó de la Peira,2025,13.03
Can Peguera,2025,8.44
la Guineueta,2025,12.47
Canyelles,2025,9.98
les Roquetes,2025,13.62
Verdun,2025,14.21
la Prosperitat,2025,14.42
la Trinitat Nova,2025,12.45
Torre Baró,2025,10.35
Ciutat Meridiana,2025,10.2
Vallbona,2025,10.4
la Trinitat Vella,2025,12.91
Baró de Viver,2025,8.45
el Bon Pastor,2025,11.36
Sant Andreu,2025,14.62
la Sagrera,2025,14.08
el Congrés i els Indians,2025,14.2
Navas,2025,14.69
el Camp de l'Arpa del Clot,2025,15.99
el Clot,2025,15.65
el Parc i la Llacuna del Poblenou,2025,18.21
la Vila Olímpica del Poblenou,2025,20.82
el Poblenou,2025,18.29
Diagonal Mar i el Front Marítim del Poblenou,2025,22.39
el Besòs i el Maresme,2025,13.16
Provençals del Poblenou,2025,16.85
Sant Martí de Provençals,2025,13.57
la Verneda i la Pau,2025,14.17
