Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,LLOC_NAIX_REGIO,poblacio,total_barri,pct
2015,6,Gràcia,31,la Vila de Gràcia,8,4210,50438,0.08346881319639954
2015,6,Gràcia,31,la Vila de Gràcia,9,391,50438,0.007752091676910266
2015,6,Gràcia,31,la Vila de Gràcia,10,14,50438,2.77568499940521e-4
2015,6,Gràcia,31,la Vila de Gràcia,11,440,50438,0.00872358142670209
2015,6,Gràcia,31,la Vila de Gràcia,12,546,50438,0.01082517149768032
2015,6,Gràcia,31,la Vila de Gràcia,13,120,50438,0.0023791585709187517
2015,6,Gràcia,31,la Vila de Gràcia,14,286,50438,0.0056703279273563586
2015,6,Gràcia,31,la Vila de Gràcia,15,628,50438,0.012450929854474801
2015,6,Gràcia,31,la Vila de Gràcia,16,708,50438,0.014037035568420635
2015,6,Gràcia,31,la Vila de Gràcia,17,40073,50438,0.7945001784368928
2015,6,Gràcia,31,la Vila de Gràcia,18,1531,50438,0.030354098100638407
2015,6,Gràcia,31,la Vila de Gràcia,19,43,50438,8.525318212458861e-4
2015,6,Gràcia,31,la Vila de Gràcia,20,0,50438,0
2015,6,Gràcia,31,la Vila de Gràcia,23,22,50438,4.3617907133510446e-4
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1,19,33911,5.602901713308366e-4
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2,21,33911,6.192680841025036e-4
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,3,187,33911,0.005514434844150866
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,4,12,33911,3.538674766300021e-4
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5,34,33911,0.0010026245171183392
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,6,209,33911,0.006163191884639202
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,7,249,33911,0.007342750140072542
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,8,2306,33911,0.06800153342573206
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,9,110,33911,0.0032437852024416857
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,10,9,33911,0.00026540060747250155
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,11,329,33911,0.009701866650939223
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,12,265,33911,0.007814573442245879
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,13,46,33911,0.0013564919937483412
