Any,Codi_barri,Nom_barri,total_habitatges
2020,9,la Nova Esquerra de l'Eixample,29766
2020,10,Sant Antoni,19488
2020,11,el Poble-sec,18569
2020,12,la Marina del Prat Vermell,776
2020,13,la Marina de Port,13335
2020,14,la Font de la Guatlla,4917
2020,15,Hostafrancs,8038
2020,16,la Bordeta,8839
2020,17,Sants - Badal,11746
2020,18,Sants,21045
2020,19,les Corts,23114
2020,20,la Maternitat i Sant Ramon,11738
2020,21,Pedralbes,6099
2020,22,"Vallvidrera, el Tibidabo i les Planes",3044
2020,23,Sarrià,12655
2020,24,les Tres Torres,7034
2020,25,Sant Gervasi - la Bonanova,12658
2020,26,Sant Gervasi - Galvany,25097
2020,27,el Putget i Farró,16314
2020,28,Vallcarca i els Penitents,9040
2020,29,el Coll,3959
2020,30,la Salut,6890
2020,31,Vila de Gràcia,30894
2020,32,el Camp d'en Grassot i Gràcia Nova,18403
2020,33,el Baix Guinardó,12508
2020,34,Can Baró,4839
2020,35,el Guinardó,18820
2020,36,la Font d'en Fargues,5323
2020,37,el Carmel,15508
2020,38,la Teixonera,5983
2020,39,Sant Genís dels Agudells,3469
2020,40,Montbau,2562
2020,41,la Vall d'Hebron,2655
2020,42,la Clota,419
2020,43,Horta,13491
2020,44,Vilapicina i la Torre Llobeta,12267
2020,45,Porta,11507
2020,46,el Turó de la Peira,7059
2020,47,Can Peguera,1047
2020,48,la Guineueta,6801
2020,49,Canyelles,2919
2020,50,les Roquetes,7083
2020,51,Verdun,5918
2020,52,la Prosperitat,12197
2020,53,la Trinitat Nova,3650
2020,54,Torre Baró,1700
2020,55,Ciutat Meridiana,3957
2020,56,Vallbona,845
2020,57,la Trinitat Vella,4195
2020,58,Baró de Viver,1112
2020,59,el Bon Pastor,5097
2020,60,Sant Andreu,29217
2020,61,la Sagrera,13493
2020,62,el Congrés i els Indians,7056
2020,63,Navas,10273
2020,64,Camp de l'Arpa del Clot,19958
2020,65,el Clot,12420
2020,66,el Parc i la Llacuna del Poblenou,7594
2020,67,la Vila Olímpica del Poblenou,4653
2020,68,el Poblenou,16638
2020,69,Diagonal Mar i el Front Marítim del Poblenou,6296
2020,70,el Besòs i el Maresme,9763
2020,71,Provençals del Poblenou,8780
2020,72,Sant Martí de Provençals,11694
2020,73,la Verneda i la Pau,13067
2021,1,el Raval,23349
2021,2,el Gòtic,10484
2021,3,la Barceloneta,9223
2021,4,"Sant Pere, Santa Caterina i la Ribera",14612
2021,5,el Fort Pienc,15386
2021,6,la Sagrada Família,27051
2021,7,la Dreta de l'Eixample,26618
2021,8,l'Antiga Esquerra de l'Eixample,24175
2021,9,la Nova Esquerra de l'Eixample,30107
2021,10,Sant Antoni,20120
2021,11,el Poble-sec,19216
2021,12,la Marina del Prat Vermell,843
2021,13,la Marina de Port,13332
2021,14,la Font de la Guatlla,5072
2021,15,Hostafrancs,8192
2021,16,la Bordeta,8946
2021,17,Sants - Badal,11876
2021,18,Sants,21295
2021,19,les Corts,23309
2021,20,la Maternitat i Sant Ramon,11791
2021,21,Pedralbes,6105
2021,22,"Vallvidrera, el Tibidabo i les Planes",3069
2021,23,Sarrià,12714
2021,24,les Tres Torres,7072
2021,25,Sant Gervasi - la Bonanova,12707
2021,26,Sant Gervasi - Galvany,25392
2021,27,el Putget i Farró,16525
2021,28,Vallcarca i els Penitents,9093
2021,29,el Coll,3986
2021,30,la Salut,6961
2021,31,Vila de Gràcia,31703
2021,32,el Camp d'en Grassot i Gràcia Nova,18655
2021,33,el Baix Guinardó,12598
2021,34,Can Baró,4874
2021,35,el Guinardó,18966
2021,36,la Font d'en Fargues,5360
2021,37,el Carmel,15534
2021,38,la Teixonera,6001
2021,39,Sant Genís dels Agudells,3482
2021,40,Montbau,2562
2021,41,la Vall d'Hebron,2655
2021,42,la Clota,416
2021,43,Horta,13544
2021,44,Vilapicina i la Torre Llobeta,12306
2021,45,Porta,11519
2021,46,el Turó de la Peira,7056
2021,47,Can Peguera,1047
2021,48,la Guineueta,6801
2021,49,Canyelles,2920
2021,50,les Roquetes,7103
2021,51,Verdun,5934
2021,52,la Prosperitat,12208
2021,53,la Trinitat Nova,3649
2021,54,Torre Baró,1701
2021,55,Ciutat Meridiana,3957
2021,56,Vallbona,845
2021,57,la Trinitat Vella,4198
2021,58,Baró de Viver,1112
2021,59,el Bon Pastor,5265
2021,60,Sant Andreu,29316
2021,61,la Sagrera,13520
2021,62,el Congrés i els Indians,7063
2021,63,Navas,10367
2021,64,Camp de l'Arpa del Clot,20092
2021,65,el Clot,12475
2021,66,el Parc i la Llacuna del Poblenou,7760
2021,67,la Vila Olímpica del Poblenou,4657
2021,68,el Poblenou,16889
2021,69,Diagonal Mar i el Front Marítim del Poblenou,6330
2021,70,el Besòs i el Maresme,9764
2021,71,Provençals del Poblenou,8960
2021,72,Sant Martí de Provençals,11712
2021,73,la Verneda i la Pau,13077
2022,1,el Raval,23413
2022,2,el Gòtic,10499
2022,3,la Barceloneta,9221
2022,4,"Sant Pere, Santa Caterina i la Ribera",14620
2022,5,el Fort Pienc,15518
2022,6,la Sagrada Família,27219
2022,7,la Dreta de l'Eixample,26941
2022,8,l'Antiga Esquerra de l'Eixample,24296
2022,9,la Nova Esquerra de l'Eixample,30230
2022,10,Sant Antoni,20130
2022,11,el Poble-sec,19249
2022,12,la Marina del Prat Vermell,940
2022,13,la Marina de Port,13361
2022,14,la Font de la Guatlla,5074
2022,15,Hostafrancs,8221
2022,16,la Bordeta,8949
2022,17,Sants - Badal,11915
2022,18,Sants,21325
2022,19,les Corts,23328
2022,20,la Maternitat i Sant Ramon,11782
2022,21,Pedralbes,6107
2022,22,"Vallvidrera, el Tibidabo i les Planes",3069
2022,23,Sarrià,12842
2022,24,les Tres Torres,7072
2022,25,Sant Gervasi - la Bonanova,12766
2022,26,Sant Gervasi - Galvany,25461
2022,27,el Putget i Farró,16561
2022,28,Vallcarca i els Penitents,9091
2022,29,el Coll,4029
2022,30,la Salut,6958
2022,31,Vila de Gràcia,31775
2022,32,el Camp d'en Grassot i Gràcia Nova,18691
2022,33,el Baix Guinardó,12611
2022,34,Can Baró,4883
2022,35,el Guinardó,19014
2022,36,la Font d'en Fargues,5363
2022,37,el Carmel,15546
2022,38,la Teixonera,6010
2022,39,Sant Genís dels Agudells,3481
2022,40,Montbau,2562
2022,41,la Vall d'Hebron,2657
2022,42,la Clota,416
2022,43,Horta,13560
2022,44,Vilapicina i la Torre Llobeta,12321
2022,45,Porta,11523
2022,46,el Turó de la Peira,7058
2022,47,Can Peguera,1047
2022,48,la Guineueta,6801
2022,49,Canyelles,2920
2022,50,les Roquetes,7103
2022,51,Verdun,5947
2022,52,la Prosperitat,12214
2022,53,la Trinitat Nova,3467
2022,54,Torre Baró,1703
2022,55,Ciutat Meridiana,3957
2022,56,Vallbona,844
2022,57,la Trinitat Vella,4198
2022,58,Baró de Viver,1112
2022,59,el Bon Pastor,5504
2022,60,Sant Andreu,29415
2022,61,la Sagrera,13681
2022,62,el Congrés i els Indians,7079
2022,63,Navas,10388
2022,64,Camp de l'Arpa del Clot,20130
2022,65,el Clot,12542
2022,66,el Parc i la Llacuna del Poblenou,7722
2022,67,la Vila Olímpica del Poblenou,4690
2022,68,el Poblenou,17052
2022,69,Diagonal Mar i el Front Marítim del Poblenou,6330
2022,70,el Besòs i el Maresme,9868
2022,71,Provençals del Poblenou,9391
2022,72,Sant Martí de Provençals,11717
2022,73,la Verneda i la Pau,13077
2023,1,el Raval,23394
2023,2,el Barri Gòtic,10499
2023,3,la Barceloneta,9232
2023,4,"Sant Pere, Santa Caterina i la Ribera",14626
2023,5,el Fort Pienc,15567
2023,6,la Sagrada Família,27282
2023,7,la Dreta de l'Eixample,27040
2023,8,l'Antiga Esquerra de l'Eixample,24359
2023,9,la Nova Esquerra de l'Eixample,30293
2023,10,Sant Antoni,20147
2023,11,el Poble-sec,19189
2023,12,la Marina del Prat Vermell,901
2023,13,la Marina de Port,13369
2023,14,la Font de la Guatlla,5123
2023,15,Hostafrancs,8232
2023,16,la Bordeta,9448
2023,17,Sants - Badal,11945
2023,18,Sants,21403
2023,19,les Corts,23343
2023,20,la Maternitat i Sant Ramon,11805
2023,21,Pedralbes,6119
2023,22,"Vallvidrera, el Tibidabo i les Planes",3083
2023,23,Sarrià,12868
2023,24,les Tres Torres,7067
2023,25,Sant Gervasi - la Bonanova,12793
2023,26,Sant Gervasi - Galvany,25648
2023,27,el Putxet i el Farró,16572
2023,28,Vallcarca i els Penitents,9111
2023,29,el Coll,4021
2023,30,la Salut,6975
2023,31,la Vila de Gràcia,31775
2023,32,el Camp d'en Grassot i Gràcia Nova,18699
2023,33,el Baix Guinardó,12626
2023,34,Can Baró,4900
2023,35,el Guinardó,19071
2023,36,la Font d'en Fargues,5368
2023,37,el Carmel,15551
2023,38,la Teixonera,6034
2023,39,Sant Genís dels Agudells,3482
2023,40,Montbau,2562
2023,41,la Vall d'Hebron,2657
2023,42,la Clota,417
2023,43,Horta,13584
2023,44,Vilapicina i la Torre Llobeta,12344
2023,45,Porta,11524
2023,46,el Turó de la Peira,7066
2023,47,Can Peguera,1047
2023,48,la Guineueta,6801
2023,49,Canyelles,2920
2023,50,les Roquetes,7138
2023,51,Verdun,5943
2023,52,la Prosperitat,12218
2023,53,la Trinitat Nova,3468
2023,54,Torre Baró,1700
2023,55,Ciutat Meridiana,3958
2023,56,Vallbona,842
2023,57,la Trinitat Vella,4197
2023,58,Baró de Viver,1112
2023,59,el Bon Pastor,5408
2023,60,Sant Andreu,29527
2023,61,la Sagrera,13770
2023,62,el Congrés i els Indians,7109
2023,63,Navas,10401
2023,64,el Camp de l'Arpa del Clot,20182
2023,65,el Clot,12584
2023,66,el Parc i la Llacuna del Poblenou,7787
2023,67,la Vila Olímpica del Poblenou,4723
2023,68,el Poblenou,17118
2023,69,Diagonal Mar i el Front Marítim del Poblenou,6330
2023,70,el Besòs i el Maresme,10057
2023,71,Provençals del Poblenou,9394
2023,72,Sant Martí de Provençals,11816
2023,73,la Verneda i la Pau,13614
2024,1,el Raval,23543
2024,2,el Barri Gòtic,10521
2024,3,la Barceloneta,9245
2024,4,"Sant Pere, Santa Caterina i la Ribera",14614
