Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total_habitatges,n_fisica,n_juridica,n_public,n_comunitat,n_altres,n_no_consta,pct_fisica,pct_juridica,pct_public,pct_comunitat,pct_altres,pct_no_consta
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,7024,5594,1299,22,0,6,103,0.7964123006833713,0.1849373576309795,0.003132118451025057,0,8.542141230068337e-4,0.014664009111617311
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,12618,9792,2508,38,0,61,219,0.776034236804565,0.19876367094626723,0.00301157077191314,0,0.004834363607544777,0.017356157869709937
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,24984,19799,4766,8,0,32,379,0.7924671789945565,0.19076208773615114,3.202049311559398e-4,0,0.001280819724623759,0.015169708613512647
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,16281,13273,2587,21,0,57,343,0.8152447638351452,0.1588968736564093,0.0012898470609913396,0,0.0035010134512622076,0.02106750199619188
2018,6,Gràcia,28,Vallcarca i els Penitents,8973,7595,1055,179,0,8,136,0.8464281734091162,0.11757494706341245,0.019948735094171402,0,8.915635796277722e-4,0.015156580853672127
2018,6,Gràcia,29,el Coll,3930,3500,311,49,0,6,64,0.8905852417302799,0.07913486005089058,0.012468193384223919,0,0.0015267175572519084,0.01628498727735369
2018,6,Gràcia,30,la Salut,6858,5981,748,9,0,7,113,0.8721201516477107,0.10906969962088073,0.0013123359580052493,0,0.001020705745115194,0.01647710702828813
2018,6,Gràcia,31,la Vila de Gràcia,30747,25257,4265,66,0,117,1042,0.8214459947311933,0.13871271994015677,0.002146550883012977,0,0.0038052492926139137,0.033889485153023056
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,18317,15846,2066,18,0,9,378,0.8650979963967899,0.11279139597095594,9.826936725446306e-4,0,4.913468362723153e-4,0.020636567123437245
2018,7,Horta-Guinardó,33,el Baix Guinardó,12474,11000,1043,245,0,8,178,0.8818342151675485,0.08361391694725027,0.01964085297418631,0,6.41333974667308e-4,0.014269680936347603
2018,7,Horta-Guinardó,34,Can Baró,4821,4371,285,42,0,9,114,0.9066583696328563,0.05911636589919104,0.008711885500933417,0,0.001866832607342875,0.023646546359676415
2018,7,Horta-Guinardó,35,el Guinardó,18761,16503,1792,18,0,34,414,0.879643942220564,0.0955172965193753,9.594371302169394e-4,0,0.0018122701348542189,0.022067053994989608
2018,7,Horta-Guinardó,36,la Font d'en Fargues,5324,5011,231,20,0,1,61,0.9412096168294516,0.04338842975206612,0.003756574004507889,0,1.8782870022539445e-4,0.01145755071374906
2018,7,Horta-Guinardó,37,el Carmel,15481,14004,861,186,0,27,403,0.9045927265680511,0.05561656223758155,0.012014727730766747,0,0.0017440733802725921,0.02603191008332795
2018,7,Horta-Guinardó,38,la Teixonera,5966,5434,358,82,0,5,87,0.910828025477707,0.060006704659738515,0.013744552463962454,0,8.380824673147837e-4,0.014582634931277238
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,3509,2820,623,18,0,7,41,0.8036477628954118,0.1775434596751211,0.005129666571672842,0,0.001994870333428327,0.011684240524365916
2018,7,Horta-Guinardó,40,Montbau,2562,2476,58,10,0,2,16,0.9664324746291959,0.02263856362217018,0.0039032006245121,0,7.8064012490242e-4,0.00624512099921936
2018,7,Horta-Guinardó,41,la Vall d'Hebron,2654,2428,93,93,0,8,32,0.9148455162019593,0.035041446872645064,0.035041446872645064,0,0.003014318010550113,0.012057272042200452
2018,7,Horta-Guinardó,42,la Clota,417,316,66,22,0,4,9,0.7577937649880095,0.15827338129496402,0.05275779376498801,0,0.009592326139088728,0.02158273381294964
2018,7,Horta-Guinardó,43,Horta,13472,12361,910,14,0,6,181,0.9175326603325415,0.06754750593824228,0.0010391923990498812,0,4.453681710213777e-4,0.013435273159144893
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12241,11350,656,8,0,11,216,0.9272118290989299,0.05359039294175313,6.535413773384527e-4,0,8.986193938403726e-4,0.017645617188138223
2018,8,Nou Barris,45,Porta,11476,10057,888,338,0,6,187,0.8763506448239805,0.07737887765772046,0.029452771000348554,0,5.228302544440571e-4,0.01629487626350645
2018,8,Nou Barris,46,el Turó de la Peira,6956,5459,1232,186,0,9,70,0.7847901092581944,0.1771132834962622,0.026739505462909718,0,0.0012938470385278895,0.010063254744105807
2018,8,Nou Barris,47,Can Peguera,1047,213,98,735,0,1,0,0.2034383954154728,0.0936007640878701,0.7020057306590258,0,9.551098376313276e-4,0
2018,8,Nou Barris,48,la Guineueta,6801,5947,735,42,0,2,75,0.8744302308484047,0.10807234230260256,0.0061755624172915745,0,2.9407440082340834e-4,0.011027790030877812
2018,8,Nou Barris,49,Canyelles,2919,2772,22,46,0,5,74,0.9496402877697842,0.0075368276807125725,0.0157588215142172,0,0.0017129153819801302,0.025351147653305928
2018,8,Nou Barris,50,les Roquetes,7084,6372,478,70,0,16,148,0.8994918125352908,0.06747600225861096,0.009881422924901186,0,0.002258610954263128,0.020892151326933936
2018,8,Nou Barris,51,Verdun,5913,5367,249,206,0,8,83,0.9076610857432775,0.04211060375443937,0.034838491459496024,0,0.0013529511246406223,0.014036867918146456
2018,8,Nou Barris,52,la Prosperitat,12171,11258,459,217,0,28,209,0.9249856215594445,0.03771259551392655,0.017829266288719087,0,0.0023005504888669787,0.017171966149042806
2018,8,Nou Barris,53,la Trinitat Nova,3584,2865,157,530,0,12,20,0.7993861607142857,0.04380580357142857,0.14787946428571427,0,0.0033482142857142855,0.005580357142857143
