Any,Nom_Districte,Nom_Barri,n_llicencies,total_habitatges,pct_hut
2021,LES CORTS,Pedralbes,11,6105,0.18018018018018017
2021,LES CORTS,la Maternitat i Sant Ramon,44,11791,0.3731659740480027
2021,LES CORTS,les Corts,202,23309,0.866618044532155
2021,NOU BARRIS,Canyelles,1,2920,0.03424657534246575
2021,NOU BARRIS,Porta,10,11519,0.08681309141418525
2021,NOU BARRIS,Verdun,3,5934,0.05055611729019212
2021,NOU BARRIS,Vilapicina i la Torre Llobeta,9,12306,0.07313505607020966
2021,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2021,NOU BARRIS,la Prosperitat,3,12208,0.024574049803407598
2021,NOU BARRIS,les Roquetes,2,7103,0.028157116711248768
2021,SANT ANDREU,Navas,16,10367,0.15433587344458377
2021,SANT ANDREU,Sant Andreu,27,29316,0.09209987720016373
2021,SANT ANDREU,el Bon Pastor,1,5265,0.01899335232668566
2021,SANT ANDREU,el Congrés i els Indians,6,7063,0.08494973807164094
2021,SANT ANDREU,la Sagrera,22,13520,0.16272189349112426
2021,SANT ANDREU,la Trinitat Vella,4,4198,0.09528346831824679
2021,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,126,6330,1.9905213270142181
2021,SANT MARTI,Provençals del Poblenou,32,8960,0.35714285714285715
2021,SANT MARTI,Sant Martí de Provençals,14,11712,0.11953551912568307
2021,SANT MARTI,el Besòs i el Maresme,32,9764,0.3277345350266284
2021,SANT MARTI,el Camp de l'Arpa del Clot,266,0,NA
2021,SANT MARTI,el Clot,49,12475,0.39278557114228463
2021,SANT MARTI,el Parc i la Llacuna del Poblenou,98,7760,1.2628865979381443
2021,SANT MARTI,el Poblenou,388,16889,2.297353306886139
2021,SANT MARTI,la Verneda i la Pau,9,13077,0.06882312456985547
2021,SANT MARTI,la Vila Olímpica del Poblenou,107,4657,2.297616491303414
2021,SANTS-MONTJUÏC,Hostafrancs,175,8192,2.13623046875
2021,SANTS-MONTJUÏC,Sants,244,21295,1.1458088753228457
2021,SANTS-MONTJUÏC,Sants - Badal,103,11876,0.8672953856517346
2021,SANTS-MONTJUÏC,el Poble-sec,498,19216,2.5915903413821813
2021,SANTS-MONTJUÏC,la Bordeta,42,8946,0.4694835680751174
2021,SANTS-MONTJUÏC,la Font de la Guatlla,73,5072,1.439274447949527
2021,SANTS-MONTJUÏC,la Marina de Port,6,13332,0.045004500450045004
2021,SANTS-MONTJUÏC,la Marina del Prat Vermell,3,843,0.3558718861209964
2021,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,242,25392,0.9530560806553244
2021,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,32,12707,0.25182970016526324
2021,SARRIA-SANT GERVASI,Sarrià,26,12714,0.2044989775051125
2021,SARRIA-SANT GERVASI,Vallvidrera el Tibidabo i les Planes,3,0,NA
2021,SARRIA-SANT GERVASI,el Putxet i el Farró,154,0,NA
2021,SARRIA-SANT GERVASI,les Tres Torres,35,7072,0.4949095022624434
2022,CIUTAT VELLA,Sant Pere Santa Caterina i la Ribera,159,0,NA
2022,CIUTAT VELLA,el Barri Gòtic,194,0,NA
2022,CIUTAT VELLA,el Raval,199,23413,0.8499551531200615
2022,CIUTAT VELLA,la Barceloneta,64,9221,0.6940678885153454
2022,GRACIA,Vallcarca i els Penitents,39,9091,0.42899571004289955
2022,GRACIA,el Camp d'en Grassot i Gràcia Nova,220,18691,1.177037076667915
2022,GRACIA,el Coll,20,4029,0.4964010920824026
2022,GRACIA,la Salut,36,6958,0.5173900546133947
2022,GRACIA,la Vila de Gràcia,725,0,NA
2022,HORTA-GUINARDÓ,Can Baró,20,4883,0.4095842719639565
2022,HORTA-GUINARDÓ,Horta,6,13560,0.04424778761061947
2022,HORTA-GUINARDÓ,Sant Genís dels Agudells,3,3481,0.08618213157138753
2022,HORTA-GUINARDÓ,el Baix Guinardó,73,12611,0.5788597256363492
2022,HORTA-GUINARDÓ,el Carmel,32,15546,0.2058407307345941
2022,HORTA-GUINARDÓ,el Guinardó,70,19014,0.368149784369412
2022,HORTA-GUINARDÓ,la Font d'en Fargues,4,5363,0.07458512026850643
2022,HORTA-GUINARDÓ,la Teixonera,6,6010,0.09983361064891848
2022,HORTA-GUINARDÓ,la Vall d'Hebron,1,2657,0.03763643206624012
2022,L'EIXAMPLE,Sant Antoni,554,20130,2.7521112767014406
2022,L'EIXAMPLE,el Fort Pienc,328,15518,2.113674442582807
2022,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,670,24296,2.7576555811656243
2022,L'EIXAMPLE,la Dreta de l'Eixample,1631,26941,6.053969785828292
2022,L'EIXAMPLE,la Nova Esquerra de l'Eixample,520,30230,1.7201455507773733
2022,L'EIXAMPLE,la Sagrada Família,750,27219,2.7554281935412765
2022,LES CORTS,Pedralbes,11,6107,0.18012117242508596
2022,LES CORTS,la Maternitat i Sant Ramon,44,11782,0.3734510269903242
2022,LES CORTS,les Corts,201,23328,0.8616255144032923
2022,NOU BARRIS,Canyelles,1,2920,0.03424657534246575
2022,NOU BARRIS,Porta,10,11523,0.08678295582747549
2022,NOU BARRIS,Verdun,3,5947,0.050445602824953764
2022,NOU BARRIS,Vilapicina i la Torre Llobeta,9,12321,0.07304601899196494
2022,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2022,NOU BARRIS,la Prosperitat,3,12214,0.02456197805796627
2022,NOU BARRIS,les Roquetes,2,7103,0.028157116711248768
2022,SANT ANDREU,Navas,16,10388,0.15402387370042356
2022,SANT ANDREU,Sant Andreu,27,29415,0.09178990311065782
2022,SANT ANDREU,el Bon Pastor,1,5504,0.018168604651162792
2022,SANT ANDREU,el Congrés i els Indians,6,7079,0.08475773414324057
2022,SANT ANDREU,la Sagrera,22,13681,0.16080695855566113
2022,SANT ANDREU,la Trinitat Vella,4,4198,0.09528346831824679
2022,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,125,6330,1.9747235387045814
2022,SANT MARTI,Provençals del Poblenou,31,9391,0.3301032903844106
2022,SANT MARTI,Sant Martí de Provençals,14,11717,0.11948450968677989
2022,SANT MARTI,el Besòs i el Maresme,32,9868,0.3242805026347791
2022,SANT MARTI,el Camp de l'Arpa del Clot,267,0,NA
2022,SANT MARTI,el Clot,46,12542,0.3667676606601818
2022,SANT MARTI,el Parc i la Llacuna del Poblenou,98,7722,1.269101269101269
2022,SANT MARTI,el Poblenou,386,17052,2.263664086324185
2022,SANT MARTI,la Verneda i la Pau,9,13077,0.06882312456985547
2022,SANT MARTI,la Vila Olímpica del Poblenou,105,4690,2.2388059701492535
2022,SANTS-MONTJUÏC,Hostafrancs,174,8221,2.116530835664761
2022,SANTS-MONTJUÏC,Sants,243,21325,1.1395076201641268
2022,SANTS-MONTJUÏC,Sants - Badal,97,11915,0.8140998741082669
2022,SANTS-MONTJUÏC,el Poble-sec,487,19249,2.5300015585225206
2022,SANTS-MONTJUÏC,la Bordeta,30,8949,0.3352329869259135
2022,SANTS-MONTJUÏC,la Font de la Guatlla,73,5074,1.4387071344107212
2022,SANTS-MONTJUÏC,la Marina de Port,6,13361,0.044906818351919765
2022,SANTS-MONTJUÏC,la Marina del Prat Vermell,3,940,0.3191489361702127
2022,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,239,25461,0.9386905463257531
2022,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,36,12766,0.28199906000313335
2022,SARRIA-SANT GERVASI,Sarrià,26,12842,0.2024606759071796
2022,SARRIA-SANT GERVASI,Vallvidrera el Tibidabo i les Planes,3,0,NA
2022,SARRIA-SANT GERVASI,el Putxet i el Farró,154,0,NA
2022,SARRIA-SANT GERVASI,les Tres Torres,33,7072,0.4666289592760181
2023,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",179,14626,1.2238479420210584
2023,CIUTAT VELLA,el Barri Gòtic,202,10499,1.923992761215354
2023,CIUTAT VELLA,el Raval,213,23394,0.9104898691972301
2023,CIUTAT VELLA,la Barceloneta,97,9232,1.050693240901213
2023,GRACIA,Vallcarca i els Penitents,39,9111,0.4280540006585446
2023,GRACIA,el Camp d'en Grassot i Gràcia Nova,223,18699,1.192577143162736
2023,GRACIA,el Coll,20,4021,0.4973887092762994
2023,GRACIA,la Salut,37,6975,0.5304659498207885
2023,GRACIA,la Vila de Gràcia,762,31775,2.3981117230527147
2023,HORTA-GUINARDÓ,Can Baró,20,4900,0.40816326530612246
2023,HORTA-GUINARDÓ,Horta,6,13584,0.044169611307420496
2023,HORTA-GUINARDÓ,Sant Genís dels Agudells,4,3482,0.11487650775416428
2023,HORTA-GUINARDÓ,el Baix Guinardó,83,12626,0.6573736733724062
2023,HORTA-GUINARDÓ,el Carmel,32,15551,0.20577454826056202
